specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ0013-0024a_F.fits| 3934.777 | 0.15545| 15| 54.51| 0| 5| 5| 5| -100.0| 100.0| 4545.03808| 4547.63808| 4545.05875| 4547.63497| CaII
GOTOQJ0013-0024a_F.fits| 3934.777 | 0.15545| 15| 54.51| 0| 4| 4| 4| -100.0| 100.0| 4545.03808| 4547.63808| 4545.05875| 4547.63497| CaII

GOTOQJ0013-0024a_F.fits| 3969.591 | 0.15545| 15| 54.51 | 0| 5| 5| 5| -48.33| 40.55| 4585.97503| 4587.30837| 4585.99535| 4587.37133| CaII
GOTOQJ0013-0024a_F.fits| 3969.591 | 0.15545| 15| 54.51 | 0| 4| 4| 4| -48.33| 40.55| 4585.97503| 4587.30837| 4585.99535| 4587.37133| CaII

GOTOQJ0013-0024a_F.fits| 5891.5833| 0.15545| 15| 43.23| 0| 3| 3| 3| -75.0| 68.0  | 6806.02992| 6808.62992| 6805.9726 | 6808.69549| NaI 
GOTOQJ0013-0024a_F.fits| 5891.5833| 0.15545| 15| 43.23| 0| 2| 2| 2| -75.0| 68.0  | 6806.02992| 6808.62992| 6805.9726 | 6808.69549| NaI 

GOTOQJ0013-0024a_F.fits| 5897.5581| 0.15545| 15| 43.23| 0| 3| 3| 3| -90.0| 70.0  | 6812.63351| 6815.23351| 6812.55478| 6815.2803 | NaI 
GOTOQJ0013-0024a_F.fits| 5897.5581| 0.15545| 15| 43.23| 0| 2| 2| 2| -90.0| 70.0  | 6812.63351| 6815.23351| 6812.55478| 6815.2803 | NaI
