specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

#GOTOQJ0950+5442a_F.fits| 3969.591| 0.04586| 15| 26.0| 0| 5| 5| 5| -50.0| 40.0| 4150.93644| 4152.13644| 4150.97055| 4152.0776| CaII 
GOTOQJ0950+5442a_F.fits| 3934.777| 0.04586| 15| 38.0| 0| 4| 4| 4| -70.0| 75.0| 4113.62587| 4115.92587| 4113.64292| 4115.97461| CaII

#GOTOQJ0950+5442a_F.fits| 3969.591| 0.04586| 15| 26.0| 0| 5| 5| 5| -50.0| 40.0| 4150.93644| 4152.13644| 4150.97055| 4152.0776| CaII 
GOTOQJ0950+5442a_F.fits| 3969.591| 0.04586| 15| 26.0| 0| 4| 4| 4| -50.0| 40.0| 4150.93644| 4152.13644| 4150.97055| 4152.0776| CaII 

GOTOQJ0950+5442a_F.fits| 5891.5833| 0.04586| 15| 35.0| 0| 3| 3| 3| -100.0| 50.0| 6159.47131| 6162.87131| 6159.54076| 6162.82667| NaI
GOTOQJ0950+5442a_F.fits| 5891.5833| 0.04586| 15| 35.0| 0| 2| 2| 2| -100.0| 50.0| 6159.47131| 6162.87131| 6159.54076| 6162.82667| NaI

GOTOQJ0950+5442a_F.fits| 5897.5581| 0.04586| 15| 40.0| 0| 3| 3| 3| -75.0| 95.0| 6166.72011| 6169.92011| 6166.73097| 6170.02071| NaI 
GOTOQJ0950+5442a_F.fits| 5897.5581| 0.04586| 15| 40.0| 0| 2| 2| 2| -75.0| 95.0| 6166.72011| 6169.92011| 6166.73097| 6170.02071| NaI 
