RA_QSO		Dec_QSO		z_QSO	z_gal	b	logM	magrQSO	lam(NaI)
							
0:13:42		-00:24:12.60	1.641	0.15528	3.4	10.44	18.58	6808.903
8:51:14		7:20:00		1.65	0.13	5.63	8.41	17.97	6657.489
9:02:50		14:14:08	0.98	0.05053	3.59	9.65	18.43	6189.109
9:02:50		14:14:08	0.98	0.05046	3.59	9.65	18.43	6189.109
9:50:14		6:42:55		0.7	0.04583 0.98	8.8	18.33	6162.596
10:05:14 	5:02:40		0.56	0.13548	3.6	9.6	18.79	6691.661
10:44:30	5:18:57		0.9	0.108	3.51	8.75	17.77	6527.286
11:35:56	0:14:38		1.45	0.034	3.88	9.41	19.22	6093.665
11:58:23	15:07:13	1.16	0.184	4.66	7.42	18.04	6972.689
12:20:37	4:37:52		2.2	0.02761	6.88	8.68	17.91	6054.78
12:38:47	16:48:37	1.56	0.11878	7	7.72	17.93	6592.682
12:41:58	15:32:42	2.62	0.14285	10.57	10.59	17.96	6733.491
12:48:14	16:35:35	2.11	0.15131	4	10.18	19.11	6782.98
13:28:24	21:59:20	0.33	0.13528	12.68	9.06	18.96	6688.125
14:29:18	1:20:59		1.13	0.08397	3.43	9.87	18.7	6387.066
14:57:19	5:21:59		1.2	0.06587	4.24	9.28	18.16	6280.428
14:59:38	13:13:15	1.22	0.149	4.4	9.6	19.02	6768.84
15:25:14	2:02:55		1.22	0.09	3.12	8.26	18.73	6421.826
16:05:21	3:07:41		1.23	0.09894	3.8	9.32	18.58	6477.207
16:56:43	1:41:37		0.243	0.03421	1.13	8.89	18.16	6094.843
16:59:59	14:02:18	0.23	0.11029	7.15	9.78	17.8	6541.425
17:17:04	8:03:21		0.66	0.20019	7.51	9.89	18.68	7069.9
