#RAJ2000    |DEJ2000	|DL    |b    |FHa   |e_FHa|SFRHac|logM*|e_logM*|E_logM*
#"h:m:s"    |"d:m:s"	|Mpc   |     |10-20W/m2|10-20W/m2|Msun/yr|[Msun]|[Msun]|[Msun]
#-----------|-----------|------|-----|------|-----|-----|-----|-----|-----
00 13 42.45|-00 24 12.60| 742.9| 3.40|139.00|12.60|60.30|10.44| 0.69| 0.24
00 16 37.07|+13 56 53.52| 417.3| 3.80|241.00|15.40| 1.33|10.15| 0.68| 0.21
00 45 15.45|-01 13 17.63| 487.4| 6.61| 37.73| 5.60| 0.18| 9.62| 0.02| 0.78
#00 59 40.67|+00 09 46.20|1587.4|     | 35.15| 4.40|     | 8.68| 1.00| 1.00
02 37 04.61|+27 52 39.70|1775.5|     | 38.46| 6.80| 1.74| 8.83| 1.00| 1.00
02 39 14.40|-07 05 57.15|1809.3|     | 21.60| 4.60| 0.67| 8.58| 1.00| 1.00
02 43 28.86|+00 38 31.20| 122.0| 1.79|170.37| 8.80| 0.02| 8.48| 0.11| 0.01
02 59 42.42|+00 01 38.10| 190.2| 4.29|106.52| 6.40| 0.09| 9.64| 0.07| 0.09
03 12 55.98|+00 14 00.00| 533.1| 1.26|201.56|10.80| 1.84|10.19| 0.07| 0.08
03 32 28.25|+00 14 34.70|  12.9|     | 45.76| 6.80| 0.00| 4.56| 1.00| 1.00
07 51 40.15|+34 07 04.20|1259.6| 4.23| 78.50| 8.50|12.46|10.25| 0.33| 0.18
08 02 16.34|+14 35 06.30| 667.6| 8.94|132.12|10.30| 0.58| 9.98| 0.25| 0.06
#08 08 08.67|+06 41 08.71|2381.9| 0.53|      |     |     | 9.94| 0.06| 0.01
#08 11 54.29|+20 21 48.87|2462.0|     |      |     |     |     |     |
08 20 57.42|+40 03 26.64|1555.7| 6.65| 36.04| 6.30| 1.33| 8.99| 0.41| 0.12
08 51 13.74|+07 19 59.80| 610.3| 5.63| 87.10| 7.70| 0.35| 8.41| 0.13| 0.12
09 02 50.47|+14 14 08.29| 224.6| 3.59| 50.32| 5.60| 0.03| 9.65| 0.82| 0.03
#09 14 17.84|+32 59 55.29|2459.4|     |      |     |     | 8.72| 1.00| 1.00
#09 29 13.09|+30 22 25.88|2427.8|     |      |     |     | 8.77| 1.00| 1.00
09 35 27.90|+23 25 25.00|1111.8| 6.29| 70.48| 5.80| 3.29| 8.52| 0.20| 0.11
#09 40 41.69|+34 15 35.14|2477.2|     | 25.40| 4.40|     |     |     |
09 43 35.61|-00 43 22.10| 454.9| 2.50| 61.50| 7.50| 0.21| 8.81| 0.06| 0.85
#09 47 59.67|+12 05 37.72|1302.7|10.66| 36.29| 6.50| 0.56| 9.80| 0.68| 0.12
