#RAJ2000	DEJ2000		zQSO	zGal	b	SFRHa	SFROII	SFRHac	SFROIIc	logM*	e_logM*	E_logM*
#"h:m:s"	"d:m:s"	 	 	 		Msun/yr	Msun/yr	Msun/yr	Msun/yr	[Msun]	[Msun]	[Msun]
#----------	------------	------	-------	-----	------	-----	-----	------	-----	-----	-----
00 13 42.45	-00 24 12.60	 1.641	 0.1557	 3.40	 0.770	     	60.30	      	10.44	 0.69	 0.24
00 16 37.07	+13 56 53.52	 2.570	 0.0912	 3.80	 0.400	 0.15	 1.33	  1.34	10.15	 0.68	 0.21
00 45 15.45	-01 13 17.63	 1.590	 0.1055	 6.61	 0.080	 0.17	 0.18	  0.67	 9.62	 0.02	 0.78
00 59 40.67	+00 09 46.20	 2.391	 0.3058	     	 0.830	 0.47	     	      	 8.68	 1.00	 1.00
02 37 04.61	+27 52 39.70	 0.971	 0.3368	     	 1.150	 0.42	 1.74	  0.91	 8.83	 1.00	 1.00
02 39 14.40	-07 05 57.15	 0.710	 0.3423	     	 0.660	 0.53	 0.67	  0.55	 8.58	 1.00	 1.00
02 43 28.86	+00 38 31.20	 2.753	 0.0279	 1.79	 0.020	 0.01	 0.02	  0.01	 8.48	 0.11	 0.01
02 59 42.42	+00 01 38.10	 2.204	 0.0430	 4.29	 0.040	 0.05	 0.09	  0.26	 9.64	 0.07	 0.09
03 12 55.98	+00 14 00.00	 1.027	 0.1147	 1.26	 0.540	 0.58	 1.84	  5.48	10.19	 0.07	 0.08
03 32 28.25	+00 14 34.70	 1.735	 0.0030	     	 0.000	     	 0.00	      	 4.56	 1.00	 1.00
07 51 40.15	+34 07 04.20	 1.190	 0.2499	 4.23	 1.180	 1.39	12.46	107.39	10.25	 0.33	 0.18
08 02 16.34	+14 35 06.30	 1.560	 0.1412	 8.94	 0.550	 0.52	 0.58	  0.57	 9.98	 0.25	 0.06
08 08 08.67	+06 41 08.71	 2.110	 0.4324	 0.53	      	 0.58	     	      	 9.94	 0.06	 0.01
08 11 54.29	+20 21 48.87	 1.250	 0.4446	     	      	     	     	      	     	     	
08 20 57.42	+40 03 26.64	 0.590	 0.3005	 6.65	 0.830	 2.79	 1.33	  6.70	 8.99	 0.41	 0.12
08 51 13.74	+07 19 59.80	 1.650	 0.1300	 5.63	 0.310	 0.33	 0.35	  0.41	 8.41	 0.13	 0.12
09 02 50.47	+14 14 08.29	 0.980	 0.0505	 3.59	 0.020	 0.04	 0.03	  0.07	 9.65	 0.82	 0.03
09 14 17.84	+32 59 55.29	 4.660	 0.4442	     	      	 0.89	     	      	 8.72	 1.00	 1.00
09 29 13.09	+30 22 25.88	 1.820	 0.4394	     	      	 1.01	     	      	 8.77	 1.00	 1.00
09 35 27.90	+23 25 25.00	 2.014	 0.2238	 6.29	 0.830	 0.71	 3.29	  9.09	 8.52	 0.20	 0.11
09 40 41.69	+34 15 35.14	 1.720	 0.4469	     	      	     	     	      	     	     	
09 43 35.61	-00 43 22.10	 0.270	 0.0989	 2.50	 0.120	 0.17	 0.21	  0.47	 8.81	 0.06	 0.85
09 47 59.67	+12 05 37.72	 1.290	 0.2574	 10.66	 0.580	 1.31	 0.56	  1.23	 9.80	 0.68	 0.12
09 50 13.74	+54 42 54.65	 0.700	 0.0460	 0.98	      	     	     	      	 8.80	 0.06	 0.15
09 52 28.23	+03 26 16.05	 1.290	 0.4194	     	      	 1.69	     	      	 9.01	 1.00	 1.00
10 05 14.21	+53 02 40.04	 0.560	 0.1358	 3.60	 0.220	 0.32	 0.19	  0.24	 9.60	 0.70	 0.22
10 10 15.74	-01 00 38.11	 0.230	 0.0213	 1.20	 0.003	 0.00	 0.04	  0.41	 8.88	 0.78	 0.10
10 11 05.67	+06 19 17.13	 1.950	 0.0881	 1.70	 0.120	 0.03	 0.57	  0.57	 9.76	 0.74	 0.17
10 12 46.34	+17 14 19.08	 1.100	 0.1118	     	 0.060	 0.24	 0.04	  0.16	 7.48	 1.00	 1.00
